summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,30,20,0.6666666666666666
overall,ARCH_Rep-1347,14,9,0.6428571428571429
overall,ARCH_Rep-2226,14,9,0.6428571428571429
overall,ARCH_Rep-3437,74,45,0.6081081081081081
overall,ARCH_Rep-4127,14,9,0.6428571428571429
overall,ARCH_Rep-5414,2,2,1
overall,ARCH_SKP,2,2,1
overall,ARCH_SWO,7,5,0.7142857142857143
overall,CCAL_Rep-3437,104,63,0.6057692307692307
overall,CHIL_Rep-3437,25,15,0.6
overall,CHIL_YFT,6,4,0.6666666666666666
overall,KURO_Rep-3437,70,42,0.6
overall,No-Category_ALB,85,51,0.6
overall,No-Category_Rep-1347,1,1,1
overall,No-Category_Rep-3437,651,391,0.6006144393241167
overall,No-Category_SKP,68,41,0.6029411764705882
overall,No-Category_SWO,131,79,0.6030534351145038
overall,No-Category_YFT,70,42,0.6
overall,NPPF_Rep-3437,816,490,0.6004901960784313
overall,NPSW_ALB,650,384,0.5907692307692308
overall,NPSW_Rep-1347,3,2,0.6666666666666666
overall,NPSW_Rep-2226,3,2,0.6666666666666666
overall,NPSW_Rep-3437,1188,713,0.6001683501683501
overall,NPSW_Rep-4127,3,2,0.6666666666666666
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,340,203,0.5970588235294118
overall,NPSW_SWO,619,368,0.5945072697899838
overall,NPSW_YFT,51,35,0.6862745098039216
overall,NPTG_ALB,337,201,0.5964391691394659
overall,NPTG_Rep-3437,1091,655,0.6003666361136571
overall,NPTG_SKP,132,93,0.7045454545454546
overall,NPTG_SWO,297,177,0.5959595959595959
overall,NPTG_YFT,42,26,0.6190476190476191
overall,PEQD_ALB,99,60,0.6060606060606061
overall,PEQD_Rep-3437,1344,807,0.6004464285714286
overall,PEQD_SKP,140,109,0.7785714285714286
overall,PEQD_SWO,449,267,0.5946547884187082
overall,PEQD_YFT,422,251,0.5947867298578199
overall,PNEC_ALB,105,63,0.6
overall,PNEC_Rep-3437,664,399,0.6009036144578314
overall,PNEC_SKP,159,96,0.6037735849056604
overall,PNEC_SWO,239,143,0.5983263598326359
overall,PNEC_YFT,384,234,0.609375
overall,PSAE_Rep-3437,137,83,0.6058394160583942
overall,PSAW_Rep-3437,72,44,0.6111111111111112
overall,SANT_Rep-3437,634,381,0.6009463722397477
overall,SPSG_ALB,49,30,0.6122448979591837
overall,SPSG_Rep-1347,8,5,0.625
overall,SPSG_Rep-2226,8,5,0.625
overall,SPSG_Rep-3437,1702,1022,0.600470035252644
overall,SPSG_Rep-4127,8,5,0.625
overall,SPSG_Rep-5414,6,4,0.6666666666666666
overall,SPSG_SKP,16,10,0.625
overall,SPSG_SWO,103,62,0.6019417475728155
overall,SSTC_Rep-1347,2,2,1
overall,SSTC_Rep-3437,569,342,0.6010544815465729
overall,TASM_ALB,4,4,1
overall,TASM_Rep-3437,132,80,0.6060606060606061
overall,TASM_SWO,2,2,1
overall,WARM_ALB,142,85,0.5985915492957746
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,222,134,0.6036036036036037
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,156,94,0.6025641025641025
overall,WARM_SWO,136,82,0.6029411764705882
overall,WARM_YFT,178,111,0.6235955056179775
