summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,83,28,0.3373493975903614
overall,ARCH_Rep-1347,33,9,0.2727272727272727
overall,ARCH_Rep-2226,33,9,0.2727272727272727
overall,ARCH_Rep-3437,167,38,0.2275449101796407
overall,ARCH_Rep-4127,36,9,0.25
overall,ARCH_Rep-5414,5,2,0.4
overall,ARCH_SKP,4,3,0.75
overall,ARCH_SWO,15,8,0.5333333333333333
overall,CCAL_Rep-3437,208,47,0.22596153846153846
overall,CHIL_Rep-3437,82,19,0.23170731707317074
overall,CHIL_YFT,11,3,0.2727272727272727
overall,KURO_Rep-3437,214,49,0.22897196261682243
overall,No-Category_ALB,178,40,0.2247191011235955
overall,No-Category_Rep-1347,3,1,0.3333333333333333
overall,No-Category_Rep-3437,1650,372,0.22545454545454546
overall,No-Category_SKP,135,31,0.22962962962962963
overall,No-Category_SWO,272,61,0.22426470588235295
overall,No-Category_YFT,170,39,0.22941176470588234
overall,NPPF_Rep-3437,2440,549,0.225
overall,NPSW_ALB,1658,387,0.23341375150784077
overall,NPSW_Rep-1347,9,3,0.3333333333333333
overall,NPSW_Rep-2226,9,3,0.3333333333333333
overall,NPSW_Rep-3437,2460,554,0.2252032520325203
overall,NPSW_Rep-4127,9,3,0.3333333333333333
overall,NPSW_Rep-5414,1,1,1
overall,NPSW_SKP,853,188,0.22039859320046892
overall,NPSW_SWO,1586,383,0.24148802017654478
overall,NPSW_YFT,135,31,0.22962962962962963
overall,NPTG_ALB,721,162,0.22468793342579751
overall,NPTG_Rep-3437,2933,660,0.22502557108762358
overall,NPTG_SKP,264,76,0.2878787878787879
overall,NPTG_SWO,617,137,0.22204213938411668
overall,NPTG_YFT,81,19,0.2345679012345679
overall,PEQD_ALB,199,45,0.22613065326633167
overall,PEQD_Rep-3437,3424,771,0.2251752336448598
overall,PEQD_SKP,279,81,0.2903225806451613
overall,PEQD_SWO,959,214,0.22314911366006257
overall,PEQD_YFT,1031,226,0.2192046556741028
overall,PNEC_ALB,222,50,0.22522522522522523
overall,PNEC_Rep-3437,1905,429,0.2251968503937008
overall,PNEC_SKP,355,80,0.22535211267605634
overall,PNEC_SWO,680,178,0.26176470588235295
overall,PNEC_YFT,1074,235,0.21880819366852886
overall,PSAE_Rep-3437,425,96,0.22588235294117648
overall,PSAW_Rep-3437,183,42,0.22950819672131148
overall,SANT_Rep-3437,1765,398,0.2254957507082153
overall,SPSG_ALB,137,31,0.22627737226277372
overall,SPSG_Rep-1347,28,7,0.25
overall,SPSG_Rep-2226,23,6,0.2608695652173913
overall,SPSG_Rep-3437,5504,1239,0.22510901162790697
overall,SPSG_Rep-4127,27,7,0.25925925925925924
overall,SPSG_Rep-5414,15,4,0.26666666666666666
overall,SPSG_SKP,53,12,0.22641509433962265
overall,SPSG_SWO,315,71,0.2253968253968254
overall,SSTC_Rep-1347,4,1,0.25
overall,SSTC_Rep-3437,1739,392,0.2254169062679701
overall,TASM_ALB,6,2,0.3333333333333333
overall,TASM_Rep-3437,320,72,0.225
overall,TASM_SWO,3,1,0.3333333333333333
overall,WARM_ALB,413,92,0.22276029055690072
overall,WARM_Rep-1347,1,1,1
overall,WARM_Rep-2226,1,1,1
overall,WARM_Rep-3437,624,141,0.22596153846153846
overall,WARM_Rep-4127,1,1,1
overall,WARM_SKP,468,104,0.2222222222222222
overall,WARM_SWO,357,109,0.30532212885154064
overall,WARM_YFT,492,110,0.22357723577235772
