summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,83,33,0.39759036144578314
overall,ARCH_Caretta_caretta_IUCN,167,42,0.25149700598802394
overall,ARCH_Chelonia_mydas_IUCN,167,42,0.25149700598802394
overall,ARCH_Dermochelys_coriacea_IUCN,167,42,0.25149700598802394
overall,ARCH_Eretmochelys_imbricata_IUCN,167,42,0.25149700598802394
overall,ARCH_Lepidochelys_olivacea_IUCN,82,21,0.25609756097560976
overall,ARCH_SKP,4,3,0.75
overall,ARCH_SWO,15,12,0.8
overall,CCAL_Caretta_caretta_IUCN,212,53,0.25
overall,CCAL_Chelonia_mydas_IUCN,125,32,0.256
overall,CCAL_Dermochelys_coriacea_IUCN,166,44,0.26506024096385544
overall,CCAL_Eretmochelys_imbricata_IUCN,212,53,0.25
overall,CCAL_Lepidochelys_olivacea_IUCN,105,36,0.34285714285714286
overall,CHIL_Caretta_caretta_IUCN,48,12,0.25
overall,CHIL_Chelonia_mydas_IUCN,48,12,0.25
overall,CHIL_Dermochelys_coriacea_IUCN,67,17,0.2537313432835821
overall,CHIL_Eretmochelys_imbricata_IUCN,82,21,0.25609756097560976
overall,CHIL_Lepidochelys_olivacea_IUCN,48,12,0.25
overall,CHIL_YFT,11,4,0.36363636363636365
overall,KURO_Caretta_caretta_IUCN,214,54,0.2523364485981308
overall,KURO_Chelonia_mydas_IUCN,136,46,0.3382352941176471
overall,KURO_Dermochelys_coriacea_IUCN,214,54,0.2523364485981308
overall,KURO_Eretmochelys_imbricata_IUCN,214,54,0.2523364485981308
overall,No-Category_ALB,178,50,0.2808988764044944
overall,No-Category_Caretta_caretta_IUCN,1134,284,0.25044091710758376
overall,No-Category_Chelonia_mydas_IUCN,817,205,0.25091799265605874
overall,No-Category_Dermochelys_coriacea_IUCN,1074,269,0.2504655493482309
overall,No-Category_Eretmochelys_imbricata_IUCN,1577,395,0.25047558655675334
overall,No-Category_Lepidochelys_olivacea_IUCN,203,51,0.2512315270935961
overall,No-Category_SKP,135,34,0.2518518518518518
overall,No-Category_SWO,272,78,0.2867647058823529
overall,No-Category_YFT,170,43,0.2529411764705882
overall,NPPF_Caretta_caretta_IUCN,2440,610,0.25
