summary,feature,total_amount,absolute_held,relative_held
overall,ARCH_ALB,26,11,0.4230769230769231
overall,ARCH_Caretta_caretta_IUCN,44,18,0.4090909090909091
overall,ARCH_Chelonia_mydas_IUCN,44,18,0.4090909090909091
overall,ARCH_Dermochelys_coriacea_IUCN,44,18,0.4090909090909091
overall,ARCH_Eretmochelys_imbricata_IUCN,44,18,0.4090909090909091
overall,ARCH_Lepidochelys_olivacea_IUCN,22,9,0.4090909090909091
overall,ARCH_SKP,1,1,1
overall,ARCH_SWO,5,4,0.8
overall,CCAL_Caretta_caretta_IUCN,99,40,0.40404040404040403
overall,CCAL_Chelonia_mydas_IUCN,37,15,0.40540540540540543
overall,CCAL_Dermochelys_coriacea_IUCN,84,34,0.40476190476190477
overall,CCAL_Eretmochelys_imbricata_IUCN,99,40,0.40404040404040403
overall,CCAL_Lepidochelys_olivacea_IUCN,50,20,0.4
overall,CHIL_Caretta_caretta_IUCN,17,7,0.4117647058823529
overall,CHIL_Chelonia_mydas_IUCN,17,7,0.4117647058823529
overall,CHIL_Dermochelys_coriacea_IUCN,34,14,0.4117647058823529
overall,CHIL_Eretmochelys_imbricata_IUCN,38,16,0.42105263157894735
overall,CHIL_Lepidochelys_olivacea_IUCN,17,7,0.4117647058823529
overall,CHIL_YFT,6,4,0.6666666666666666
overall,KURO_Caretta_caretta_IUCN,87,35,0.40229885057471265
overall,KURO_Chelonia_mydas_IUCN,39,24,0.6153846153846154
overall,KURO_Dermochelys_coriacea_IUCN,87,35,0.40229885057471265
overall,KURO_Eretmochelys_imbricata_IUCN,87,35,0.40229885057471265
overall,No-Category_ALB,49,23,0.46938775510204084
overall,No-Category_Caretta_caretta_IUCN,366,147,0.4016393442622951
overall,No-Category_Chelonia_mydas_IUCN,222,89,0.4009009009009009
overall,No-Category_Dermochelys_coriacea_IUCN,349,140,0.40114613180515757
overall,No-Category_Eretmochelys_imbricata_IUCN,485,194,0.4
overall,No-Category_Lepidochelys_olivacea_IUCN,63,26,0.4126984126984127
overall,No-Category_SKP,35,19,0.5428571428571428
overall,No-Category_SWO,73,30,0.410958904109589
overall,No-Category_YFT,64,26,0.40625
overall,NPPF_Caretta_caretta_IUCN,999,400,0.4004004004004004
overall,NPPF_Chelonia_mydas_IUCN,136,55,0.40441176470588236
overall,NPPF_Dermochelys_coriacea_IUCN,999,400,0.4004004004004004
overall,NPPF_Eretmochelys_imbricata_IUCN,999,400,0.4004004004004004
overall,NPSW_ALB,795,313,0.3937106918238994
overall,NPSW_Caretta_caretta_IUCN,1177,471,0.4001699235344095
overall,NPSW_Chelonia_mydas_IUCN,1177,471,0.4001699235344095
overall,NPSW_Dermochelys_coriacea_IUCN,1177,471,0.4001699235344095
overall,NPSW_Eretmochelys_imbricata_IUCN,1177,471,0.4001699235344095
overall,NPSW_Lepidochelys_olivacea_IUCN,123,50,0.4065040650406504
overall,NPSW_SKP,388,154,0.39690721649484534
overall,NPSW_SWO,769,303,0.3940182054616385
overall,NPSW_YFT,57,35,0.6140350877192983
overall,NPTG_ALB,237,95,0.4008438818565401
overall,NPTG_Caretta_caretta_IUCN,1186,475,0.40050590219224286
overall,NPTG_Chelonia_mydas_IUCN,1178,472,0.400679117147708
overall,NPTG_Dermochelys_coriacea_IUCN,847,339,0.4002361275088548
overall,NPTG_Eretmochelys_imbricata_IUCN,1186,475,0.40050590219224286
overall,NPTG_Lepidochelys_olivacea_IUCN,1,1,1
overall,NPTG_SKP,125,50,0.4
overall,NPTG_SWO,209,84,0.4019138755980861
overall,NPTG_YFT,42,17,0.40476190476190477
overall,PEQD_ALB,100,40,0.4
overall,PEQD_Caretta_caretta_IUCN,1520,608,0.4
overall,PEQD_Chelonia_mydas_IUCN,1520,608,0.4
overall,PEQD_Dermochelys_coriacea_IUCN,1181,473,0.4005080440304826
overall,PEQD_Eretmochelys_imbricata_IUCN,1520,608,0.4
overall,PEQD_Lepidochelys_olivacea_IUCN,680,272,0.4
overall,PEQD_SKP,128,52,0.40625
overall,PEQD_SWO,437,174,0.39816933638443935
overall,PEQD_YFT,447,177,0.3959731543624161
overall,PNEC_ALB,100,40,0.4
overall,PNEC_Caretta_caretta_IUCN,755,302,0.4
overall,PNEC_Chelonia_mydas_IUCN,755,302,0.4
overall,PNEC_Dermochelys_coriacea_IUCN,564,226,0.40070921985815605
overall,PNEC_Eretmochelys_imbricata_IUCN,755,302,0.4
overall,PNEC_Lepidochelys_olivacea_IUCN,221,89,0.40271493212669685
overall,PNEC_SKP,155,62,0.4
overall,PNEC_SWO,245,104,0.42448979591836733
overall,PNEC_YFT,401,182,0.4538653366583541
overall,PSAE_Caretta_caretta_IUCN,197,79,0.4010152284263959
overall,PSAE_Dermochelys_coriacea_IUCN,197,79,0.4010152284263959
overall,PSAE_Eretmochelys_imbricata_IUCN,197,79,0.4010152284263959
overall,PSAW_Caretta_caretta_IUCN,240,96,0.4
overall,PSAW_Dermochelys_coriacea_IUCN,240,96,0.4
overall,PSAW_Eretmochelys_imbricata_IUCN,240,96,0.4
overall,SANT_Caretta_caretta_IUCN,18,8,0.4444444444444444
overall,SANT_Eretmochelys_imbricata_IUCN,226,91,0.4026548672566372
overall,SPSG_ALB,38,16,0.42105263157894735
overall,SPSG_Caretta_caretta_IUCN,1665,666,0.4
overall,SPSG_Chelonia_mydas_IUCN,865,346,0.4
overall,SPSG_Dermochelys_coriacea_IUCN,1489,596,0.40026863666890533
overall,SPSG_Eretmochelys_imbricata_IUCN,2139,856,0.4001870032725573
overall,SPSG_Lepidochelys_olivacea_IUCN,126,51,0.40476190476190477
overall,SPSG_SKP,15,6,0.4
overall,SPSG_SWO,112,45,0.4017857142857143
overall,SSTC_Caretta_caretta_IUCN,33,14,0.42424242424242425
overall,SSTC_Dermochelys_coriacea_IUCN,28,12,0.42857142857142855
overall,SSTC_Eretmochelys_imbricata_IUCN,505,202,0.4
overall,TASM_ALB,4,4,1
overall,TASM_Caretta_caretta_IUCN,89,36,0.4044943820224719
overall,TASM_Chelonia_mydas_IUCN,61,25,0.4098360655737705
overall,TASM_Dermochelys_coriacea_IUCN,87,35,0.40229885057471265
overall,TASM_Eretmochelys_imbricata_IUCN,89,36,0.4044943820224719
overall,TASM_Lepidochelys_olivacea_IUCN,66,27,0.4090909090909091
overall,TASM_SWO,2,2,1
overall,WARM_ALB,159,70,0.44025157232704404
overall,WARM_Caretta_caretta_IUCN,214,86,0.40186915887850466
overall,WARM_Chelonia_mydas_IUCN,214,86,0.40186915887850466
overall,WARM_Dermochelys_coriacea_IUCN,214,86,0.40186915887850466
overall,WARM_Eretmochelys_imbricata_IUCN,214,86,0.40186915887850466
overall,WARM_Lepidochelys_olivacea_IUCN,150,60,0.4
overall,WARM_SKP,175,70,0.4
overall,WARM_SWO,137,60,0.43795620437956206
overall,WARM_YFT,181,73,0.40331491712707185
