sum,retained,features,relative
413,44,WARM_ALB,0.10653753026634383
1658,244,NPSW_ALB,0.1471652593486128
178,17,No-Category_ALB,0.09550561797752809
6,4,TASM_ALB,0.6666666666666666
83,7,ARCH_ALB,0.08433734939759036
137,15,SPSG_ALB,0.10948905109489052
222,46,PNEC_ALB,0.2072072072072072
721,87,NPTG_ALB,0.12066574202496533
199,34,PEQD_ALB,0.1708542713567839
468,50,WARM_SKP,0.10683760683760683
853,122,NPSW_SKP,0.14302461899179367
135,17,No-Category_SKP,0.1259259259259259
4,0,ARCH_SKP,0
53,8,SPSG_SKP,0.1509433962264151
264,58,NPTG_SKP,0.2196969696969697
279,125,PEQD_SKP,0.44802867383512546
355,140,PNEC_SKP,0.39436619718309857
357,55,WARM_SWO,0.15406162464985995
1586,243,NPSW_SWO,0.1532156368221942
272,26,No-Category_SWO,0.09558823529411764
3,3,TASM_SWO,1
15,3,ARCH_SWO,0.2
315,40,SPSG_SWO,0.12698412698412698
959,252,PEQD_SWO,0.26277372262773724
680,247,PNEC_SWO,0.36323529411764705
617,84,NPTG_SWO,0.13614262560777957
492,57,WARM_YFT,0.11585365853658537
135,20,NPSW_YFT,0.14814814814814814
170,18,No-Category_YFT,0.10588235294117647
1031,262,PEQD_YFT,0.2541222114451988
1074,305,PNEC_YFT,0.2839851024208566
81,35,NPTG_YFT,0.43209876543209874
11,2,CHIL_YFT,0.18181818181818182
9,2,NPSW_Rep-1347,0.2222222222222222
33,6,ARCH_Rep-1347,0.18181818181818182
1,1,WARM_Rep-1347,1
4,0,SSTC_Rep-1347,0
3,0,No-Category_Rep-1347,0
28,9,SPSG_Rep-1347,0.32142857142857145
9,2,NPSW_Rep-2226,0.2222222222222222
33,6,ARCH_Rep-2226,0.18181818181818182
1,1,WARM_Rep-2226,1
23,6,SPSG_Rep-2226,0.2608695652173913
624,69,WARM_Rep-3437,0.11057692307692307
2460,434,NPSW_Rep-3437,0.17642276422764228
1650,119,No-Category_Rep-3437,0.07212121212121213
214,11,KURO_Rep-3437,0.0514018691588785
183,13,PSAW_Rep-3437,0.07103825136612021
1739,125,SSTC_Rep-3437,0.0718803910293272
320,17,TASM_Rep-3437,0.053125
1765,164,SANT_Rep-3437,0.09291784702549576
2440,380,NPPF_Rep-3437,0.1557377049180328
167,7,ARCH_Rep-3437,0.041916167664670656
5504,304,SPSG_Rep-3437,0.055232558139534885
425,49,PSAE_Rep-3437,0.11529411764705882
2933,363,NPTG_Rep-3437,0.12376406409819297
3424,551,PEQD_Rep-3437,0.16092289719626168
1905,399,PNEC_Rep-3437,0.2094488188976378
208,43,CCAL_Rep-3437,0.20673076923076922
82,14,CHIL_Rep-3437,0.17073170731707318
9,2,NPSW_Rep-4127,0.2222222222222222
36,6,ARCH_Rep-4127,0.16666666666666666
1,1,WARM_Rep-4127,1
27,6,SPSG_Rep-4127,0.2222222222222222
1,1,NPSW_Rep-5414,1
5,2,ARCH_Rep-5414,0.4
15,2,SPSG_Rep-5414,0.13333333333333333
