sum,retained,features,relative
413,46,WARM_ALB,0.11138014527845036
1658,585,NPSW_ALB,0.3528347406513872
178,64,No-Category_ALB,0.3595505617977528
6,5,TASM_ALB,0.8333333333333334
83,6,ARCH_ALB,0.07228915662650602
137,72,SPSG_ALB,0.5255474452554745
222,74,PNEC_ALB,0.3333333333333333
721,158,NPTG_ALB,0.21914008321775313
199,115,PEQD_ALB,0.5778894472361809
468,51,WARM_SKP,0.10897435897435898
853,280,NPSW_SKP,0.32825322391559203
135,53,No-Category_SKP,0.3925925925925926
4,1,ARCH_SKP,0.25
53,21,SPSG_SKP,0.39622641509433965
264,110,NPTG_SKP,0.4166666666666667
279,148,PEQD_SKP,0.5304659498207885
355,241,PNEC_SKP,0.6788732394366197
357,78,WARM_SWO,0.2184873949579832
1586,574,NPSW_SWO,0.3619167717528373
272,87,No-Category_SWO,0.31985294117647056
3,3,TASM_SWO,1
15,5,ARCH_SWO,0.3333333333333333
315,81,SPSG_SWO,0.2571428571428571
959,469,PEQD_SWO,0.48905109489051096
680,439,PNEC_SWO,0.6455882352941177
617,137,NPTG_SWO,0.22204213938411668
492,81,WARM_YFT,0.16463414634146342
135,41,NPSW_YFT,0.3037037037037037
170,52,No-Category_YFT,0.3058823529411765
1031,492,PEQD_YFT,0.4772065955383123
1074,578,PNEC_YFT,0.5381750465549349
81,61,NPTG_YFT,0.7530864197530864
11,10,CHIL_YFT,0.9090909090909091
624,97,WARM_Caretta_caretta_IUCN,0.15544871794871795
2460,940,NPSW_Caretta_caretta_IUCN,0.3821138211382114
1134,300,No-Category_Caretta_caretta_IUCN,0.26455026455026454
214,27,KURO_Caretta_caretta_IUCN,0.1261682242990654
478,32,PSAW_Caretta_caretta_IUCN,0.06694560669456066
114,43,SSTC_Caretta_caretta_IUCN,0.37719298245614036
320,43,TASM_Caretta_caretta_IUCN,0.134375
54,16,SANT_Caretta_caretta_IUCN,0.2962962962962963
2440,630,NPPF_Caretta_caretta_IUCN,0.2581967213114754
167,6,ARCH_Caretta_caretta_IUCN,0.03592814371257485
5304,1591,SPSG_Caretta_caretta_IUCN,0.2999622926093514
624,163,PSAE_Caretta_caretta_IUCN,0.26121794871794873
3834,800,NPTG_Caretta_caretta_IUCN,0.20865936358894105
3424,1246,PEQD_Caretta_caretta_IUCN,0.3639018691588785
