Latitude,Longitude,SST,Number,Season,Bathymetry,BathymetrySD,Species,Dist2Coast,Ocean,Season2,Nitrate,MLD,Chl,PA,Preds
-1,134,28.87573,0,janmarch,-1.692913,892.6012,skipjack tuna,16.92943,pacific,2,0.54801,21.53823,0.167916,0,0.3261802041861787
-1,135,28.87081,0,janmarch,-1.682892,1651.212,skipjack tuna,14.90988,pacific,2,0.48355,21.90304,0.173552,0,0.33657543497848713
-1,136,28.81462,0,janmarch,-3.217928,1586.443,skipjack tuna,10.22813,pacific,2,0.415183,22.59071,0.166844,0,0.3464954426538832
-1,137,29.00957,0,octoberdec,-3.988074,841.8058,skipjack tuna,25.24369,pacific,2,0.113055,26.37916,0.204195,0,0.3742499971426936
-1,137,28.64084,0,janmarch,-3.988074,841.8058,skipjack tuna,25.24369,pacific,2,0.331064,23.93887,0.150073,0,0.3581384939669939
-1,138,28.64464,0,janmarch,-4.187404,291.8664,skipjack tuna,26.02065,pacific,2,0.243404,26.67615,0.171244,0,0.36668063100799925
-1,138,29.05565,0,octoberdec,-4.187404,291.8664,skipjack tuna,26.02065,pacific,2,0.057468,28.94931,0.182151,0,0.3829158551055448
-1,139,29.06741,0,octoberdec,-3.50405,274.4105,skipjack tuna,61.65179,pacific,2,0.014671,30.84519,0.135538,0,0.38236723957503604
-1,141,29.10632,3,octoberdec,-3.240472,131.4527,skipjack tuna,120.3409,pacific,2,0,37.13903,0.118168,1,0.37527405512063544
-1,141,28.65638,0,janmarch,-3.240472,131.4527,skipjack tuna,120.3409,pacific,2,0.080303,35.0831,0.164659,0,0.36379422641651793
-1,143,29.15846,0,octoberdec,-3.459056,478.5926,skipjack tuna,36.64213,pacific,2,0.015415,39.45442,0.113704,0,0.38461509135721694
-1,143,28.66131,0,janmarch,-3.459056,478.5926,skipjack tuna,36.64213,pacific,2,0.042498,37.89714,0.147207,0,0.3735774788876594
-1,144,28.79095,3,julsept,-3.680398,710.6888,skipjack tuna,22.55798,pacific,4,0.023219,32.11772,0.102083,1,0.30847765800494564
-1,144,28.73148,1,janmarch,-3.680398,710.6888,skipjack tuna,22.55798,pacific,2,0.042913,35.85731,0.177653,1,0.3689324600422334
-1,145,28.88531,0,julsept,-3.294394,1197.401,skipjack tuna,44.44921,pacific,4,0.023655,28.44944,0.106861,0,0.3007163914337443
-1,145,28.8475,0,janmarch,-3.294394,1197.401,skipjack tuna,44.44921,pacific,2,0.035312,32.45153,0.180042,0,0.35967258274043135
-1,145,29.12115,0,apriljune,-3.294394,1197.401,skipjack tuna,44.44921,pacific,3,0.093961,29.95761,0.13731,0,0.33651282674420857
-1,145,29.2873,0,octoberdec,-3.294394,1197.401,skipjack tuna,44.44921,pacific,2,0.033858,30.99691,0.101248,0,0.3813202812573457
-1,146,28.9989,0,julsept,-3.363098,1231.505,skipjack tuna,52.1809,pacific,4,0.027377,27.12869,0.104441,0,0.2965401412905016
-1,146,29.21103,0,apriljune,-3.363098,1231.505,skipjack tuna,52.1809,pacific,3,0.081425,28.86272,0.132736,0,0.33590547753594974
-1,146,28.97663,2,janmarch,-3.363098,1231.505,skipjack tuna,52.1809,pacific,2,0.022034,29.70572,0.166642,1,0.3559040795938791
-1,147,29.09814,1,janmarch,-3.594821,1305.709,skipjack tuna,55.51457,pacific,2,0.031377,27.99656,0.158976,1,0.3532801216264525
-1,147,29.05689,0,julsept,-3.594821,1305.709,skipjack tuna,55.51457,pacific,4,0.036431,28.03588,0.106125,0,0.2913973156909047
-1,147,29.39069,0,octoberdec,-3.594821,1305.709,skipjack tuna,55.51457,pacific,2,0.074551,26.463,0.097089,0,0.37075823900807303
-1,148,29.05246,2,julsept,-3.835138,1280.579,skipjack tuna,78.10745,pacific,4,0.040579,29.04073,0.097286,1,0.28087284846614663
-1,148,29.44197,1,octoberdec,-3.835138,1280.579,skipjack tuna,78.10745,pacific,2,0.075509,25.79475,0.100669,1,0.3632366298921285
-1,149,29.47309,1,octoberdec,-4.780283,1276.13,skipjack tuna,29.0129,pacific,2,0.069798,25.89346,0.100593,1,0.365075468776263
-1,149,29.07922,0,julsept,-4.780283,1276.13,skipjack tuna,29.0129,pacific,4,0.048196,29.34942,0.091296,0,0.28072686863274027
-1,150,29.49209,0,octoberdec,-5.227452,355.1829,skipjack tuna,63.15912,pacific,2,0.077033,27.4005,0.101137,0,0.35191733858737795
-1,150,29.3529,0,apriljune,-5.227452,355.1829,skipjack tuna,63.15912,pacific,3,0.047272,28.90997,0.092924,0,0.315827984176909
-1,150,29.31471,0,janmarch,-5.227452,355.1829,skipjack tuna,63.15912,pacific,2,0.033999,26.47642,0.132368,0,0.34170853621617625
-1,150,29.12931,0,julsept,-5.227452,355.1829,skipjack tuna,63.15912,pacific,4,0.054148,29.8905,0.087067,0,0.270648311678876
-1,151,29.1564,0,julsept,-5.050031,560.6809,skipjack tuna,123.3823,pacific,4,0.050031,30.99004,0.089504,0,0.2569164295676637
-1,151,29.38811,0,apriljune,-5.050031,560.6809,skipjack tuna,123.3823,pacific,3,0.011451,29.58004,0.091942,0,0.3038243823141009
-1,151,29.50484,1,octoberdec,-5.050031,560.6809,skipjack tuna,123.3823,pacific,2,0.084228,30.06005,0.106109,1,0.3344296514144652
-1,151,29.35488,0,janmarch,-5.050031,560.6809,skipjack tuna,123.3823,pacific,2,0.059159,28.6624,0.129934,0,0.3251596575670168
-1,152,29.16732,0,julsept,-4.409656,213.9214,skipjack tuna,133.0152,pacific,4,0.052576,30.46379,0.093833,0,0.24855860325118323
-1,152,29.50131,2,octoberdec,-4.409656,213.9214,skipjack tuna,133.0152,pacific,2,0.095275,32.2921,0.103232,1,0.3231050294016172
-1,152,29.39411,3,janmarch,-4.409656,213.9214,skipjack tuna,133.0152,pacific,2,0.075127,31.87816,0.11964,1,0.31672857883626376
-1,152,29.43194,0,apriljune,-4.409656,213.9214,skipjack tuna,133.0152,pacific,3,0.010567,30.10037,0.095092,0,0.29718045966286366
-1,153,29.4604,1,octoberdec,-3.938433,323.4473,skipjack tuna,169.4385,pacific,2,0.107249,33.26046,0.096333,1,0.3055728656855647
-1,153,29.12854,3,julsept,-3.938433,323.4473,skipjack tuna,169.4385,pacific,4,0.057798,29.35255,0.094918,1,0.23459480413936556
-1,153,29.4305,0,apriljune,-3.938433,323.4473,skipjack tuna,169.4385,pacific,3,0.010484,31.00688,0.094105,0,0.2839470710819746
-1,154,29.38233,0,apriljune,-2.878315,336.5303,skipjack tuna,181.0851,pacific,3,0.032559,32.41175,0.095891,0,0.2700134742153265
-1,154,29.3902,0,octoberdec,-2.878315,336.5303,skipjack tuna,181.0851,pacific,2,0.115346,33.82521,0.09498,0,0.2904262505543143
-1,155,28.99128,0,julsept,-2.083152,153.294,skipjack tuna,213.6668,pacific,4,0.085314,30.97056,0.089715,0,0.20969816500555163
-1,155,29.32653,0,octoberdec,-2.083152,153.294,skipjack tuna,213.6668,pacific,2,0.142724,34.47459,0.090044,0,0.27252776575436255
-1,155,29.3276,0,apriljune,-2.083152,153.294,skipjack tuna,213.6668,pacific,3,0.067516,33.96068,0.10218000000000001,0,0.25301912398635695
-1,156,28.96639,2,julsept,-1.989569,52.25608,skipjack tuna,280.02,pacific,4,0.077788,32.44974,0.089627,1,0.19645128009565307
-1,156,29.2816,0,apriljune,-1.989569,52.25608,skipjack tuna,280.02,pacific,3,0.152734,35.56956,0.10348,0,0.2304490132588019
-1,156,29.27048,0,octoberdec,-1.989569,52.25608,skipjack tuna,280.02,pacific,2,0.169232,36.00727,0.086445,0,0.2517819237207769
-1,157,29.26156,0,apriljune,-2.072355,111.4223,skipjack tuna,354.542,pacific,3,0.2466,35.93057,0.107662,0,0.2089111584836224
-1,157,29.19312,0,octoberdec,-2.072355,111.4223,skipjack tuna,354.542,pacific,2,0.174108,37.61411,0.097706,0,0.23084833009764527
-1,157,28.94402,1,julsept,-2.072355,111.4223,skipjack tuna,354.542,pacific,4,0.055981,32.97242,0.090963,1,0.18342448640601183
-1,158,29.12422,0,janmarch,-2.180103,56.30284,skipjack tuna,351.965,pacific,2,0.474946,39.66411,0.11899,0,0.20655100229014353
-1,158,29.27078,0,apriljune,-2.180103,56.30284,skipjack tuna,351.965,pacific,3,0.428272,33.78023,0.111254,0,0.19575797441593135
-1,158,29.1057,1,octoberdec,-2.180103,56.30284,skipjack tuna,351.965,pacific,2,0.217306,37.3915,0.108043,1,0.2196171849889626
-1,158,28.95163,0,julsept,-2.180103,56.30284,skipjack tuna,351.965,pacific,4,0.041235,31.37144,0.093789,0,0.18041134105557083
-1,159,29.0904,0,octoberdec,-2.518708,211.5669,skipjack tuna,335.1435,pacific,2,0.430793,34.88721,0.114814,0,0.20563070600373026
-1,159,29.00544,0,julsept,-2.518708,211.5669,skipjack tuna,335.1435,pacific,4,0.004101,28.64986,0.091574,0,0.1818235978422753
-1,160,29.16119,0,octoberdec,-2.941997,150.6163,skipjack tuna,354.21,pacific,2,0.52588,32.887,0.11938,0,0.19800112957876337
-1,160,29.07184,0,julsept,-2.941997,150.6163,skipjack tuna,354.21,pacific,4,0.003852,26.81649,0.091455,0,0.1785296362836204
-1,161,29.10859,0,julsept,-3.753172,365.9818,skipjack tuna,404.1251,pacific,4,0,26.03814,0.094131,0,0.17138133497378927
-1,161,29.243,2,octoberdec,-3.753172,365.9818,skipjack tuna,404.1251,pacific,2,0.535599,32.52179,0.115647,1,0.19200344451448031
-1,162,29.07917,0,janmarch,-4.361796,105.6171,skipjack tuna,461.3618,pacific,2,0.030551,38.03017,0.116052,0,0.1998110041203968
-1,162,29.29505,0,octoberdec,-4.361796,105.6171,skipjack tuna,461.3618,pacific,2,0.419214,33.76378,0.120359,0,0.18991525907451884
-1,162,29.22794,0,apriljune,-4.361796,105.6171,skipjack tuna,461.3618,pacific,3,1.455382,31.84731,0.145227,0,0.13020191463210293
-1,162,29.11166,0,julsept,-4.361796,105.6171,skipjack tuna,461.3618,pacific,4,0,27.4538,0.100158,0,0.1621884548584699
-1,163,29.03458,0,janmarch,-4.441907,28.37459,skipjack tuna,395.1675,pacific,2,0.046617,40.90015,0.11497,0,0.20591544405779463
-1,164,29.29996,0,octoberdec,-4.419609,22.81422,skipjack tuna,290.1361,pacific,2,0.267349,38.58453,0.129714,0,0.21958472497900194
-1,164,29.190550000000002,0,apriljune,-4.419609,22.81422,skipjack tuna,290.1361,pacific,3,1.662824,38.18277,0.154889,0,0.13787979942029888
-1,165,29.11852,0,julsept,-4.397538,53.27001,skipjack tuna,192.2877,pacific,4,0.059856,36.16438,0.130672,0,0.18818391901498505
-1,165,29.1672,0,apriljune,-4.397538,53.27001,skipjack tuna,192.2877,pacific,3,1.982516,40.95652,0.16552,0,0.13533310398226553
-1,165,28.91025,0,janmarch,-4.397538,53.27001,skipjack tuna,192.2877,pacific,2,0.312327,45.55478,0.150733,0,0.21254661384211812
-1,166,29.15348,0,apriljune,-4.163793,511.42,skipjack tuna,120.0191,pacific,3,2.304916,43.44439,0.169882,0,0.1316409870158099
-1,166,29.15807,0,octoberdec,-4.163793,511.42,skipjack tuna,120.0191,pacific,2,0.434308,43.64076,0.12347,0,0.2225846992954557
-1,167,29.10247,3,octoberdec,-4.204065,218.9593,skipjack tuna,127.034,pacific,2,0.560536,45.02886,0.128102,1,0.21318829923295757
-1,167,28.87709,0,janmarch,-4.204065,218.9593,skipjack tuna,127.034,pacific,2,1.030311,47.49941,0.149037,0,0.18505821275551634
-1,168,28.87881,0,janmarch,-4.228135,60.85563,skipjack tuna,134.5527,pacific,2,1.477389,44.5621,0.154912,0,0.16747429455975832
-1,169,28.83895,0,janmarch,-4.278731,371.6125,skipjack tuna,74.58347,pacific,2,1.871457,42.33554,0.153193,0,0.15992243305694182
-1,170,29.03306,0,apriljune,-4.436743,126.028,skipjack tuna,128.8668,pacific,3,1.812165,38.72692,0.179189,0,0.14514408569902756
-1,170,28.77579,0,janmarch,-4.436743,126.028,skipjack tuna,128.8668,pacific,2,2.186567,42.33327,0.162569,0,0.14678673900218212
-1,171,28.85079,0,julsept,-4.400079,180.2331,skipjack tuna,224.3879,pacific,4,2.322167,37.8212,0.163949,0,0.10736361169209496
-1,173,28.80254,0,julsept,-4.457814,461.4265,skipjack tuna,130.0412,pacific,4,2.608463,43.55411,0.165547,0,0.10930404563668475
-1,178,28.59546,0,julsept,-5.384087,543.2022,skipjack tuna,217.5425,pacific,4,1.089898,47.91087,0.174875,0,0.1545317308571534
-1,179,28.77058,1,octoberdec,-5.397614,75.13231,skipjack tuna,322.4864,pacific,2,2.609372,55.78323,0.168578,1,0.12953595530370343
-1,179,28.29848,3,janmarch,-5.397614,75.13231,skipjack tuna,322.4864,pacific,2,0.470241,54.67941,0.177203,1,0.22961857662151566
-1,179,28.57408,0,julsept,-5.397614,75.13231,skipjack tuna,322.4864,pacific,4,0.834398,49.25093,0.175826,0,0.1558224091470404
-10,133,26.29798,0,julsept,-0.1301776,37.46995,skipjack tuna,73.67072,pacific,4,0.159768,41.72921,0.314746,0,0.2939920945864596
-10,144,25.45435,0,julsept,-0.2855554,421.0868,skipjack tuna,85.48943,pacific,4,0.208892,33.00887,0.326279,0,0.2040895152061402
-10,144,27.7645,0,octoberdec,-0.2855554,421.0868,skipjack tuna,85.48943,pacific,2,0.307625,11.46378,0.263153,0,0.34254141529368426
-10,145,27.58164,1,octoberdec,-1.53651,381.6239,skipjack tuna,161.6377,pacific,2,0.124127,12.61602,0.18678,1,0.34313103356879116
-10,145,25.45688,0,julsept,-1.53651,381.6239,skipjack tuna,161.6377,pacific,4,0.313503,35.67462,0.157691,0,0.1891914198648812
-10,146,25.51257,0,julsept,-1.644942,677.6444,skipjack tuna,123.8177,pacific,4,0.304693,38.80919,0.307389,0,0.1971197434664255
-10,146,27.47051,0,octoberdec,-1.644942,677.6444,skipjack tuna,123.8177,pacific,2,0.126244,14.70628,0.353647,0,0.34490808611644685
-10,147,25.55905,0,julsept,-1.017043,820.9071,skipjack tuna,56.92054,pacific,4,0.026101,41.33168,0.408907,0,0.22240042990905218
-10,147,27.43637,0,octoberdec,-1.017043,820.9071,skipjack tuna,56.92054,pacific,2,0.156193,17.21574,0.471401,0,0.34972809300690333
-10,151,26.38806,0,julsept,-1.460483,868.5861,skipjack tuna,12.18725,pacific,4,0.017651,32.26302,0.145341,0,0.2888817747294153
-10,151,27.91292,0,octoberdec,-1.460483,868.5861,skipjack tuna,12.18725,pacific,2,0.156242,19.90532,0.135696,0,0.34527197927224196
-10,151,27.75807,3,apriljune,-1.460483,868.5861,skipjack tuna,12.18725,pacific,3,0.231548,25.43137,0.206399,1,0.31678147488574027
-10,152,26.6258,0,julsept,-1.483658,1021.528,skipjack tuna,21.29232,pacific,4,0,33.54961,0.178204,0,0.292589464590417
-10,153,28.26659,0,octoberdec,-1.837788,909.7963,skipjack tuna,61.71238,pacific,2,0.219082,24.96576,0.117318,0,0.3090612668838486
-10,153,26.85297,0,julsept,-1.837788,909.7963,skipjack tuna,61.71238,pacific,4,0,35.20461,0.145649,0,0.2880185439593393
-10,153,27.97652,0,apriljune,-1.837788,909.7963,skipjack tuna,61.71238,pacific,3,0.235529,27.76378,0.134252,0,0.30152596199961146
-10,154,28.16058,1,apriljune,-3.205649,627.0285,skipjack tuna,95.41066,pacific,3,0.237397,28.79065,0.120892,1,0.28594063497850186
-10,154,29.24827,0,janmarch,-3.205649,627.0285,skipjack tuna,95.41066,pacific,2,0.045125,19.10011,0.09807,0,0.30403248396410154
-10,154,27.03732,0,julsept,-3.205649,627.0285,skipjack tuna,95.41066,pacific,4,0,36.14832,0.138661,0,0.28494057261354666
-10,154,28.46468,0,octoberdec,-3.205649,627.0285,skipjack tuna,95.41066,pacific,2,0.248558,26.2626,0.122705,0,0.28768334185411093
-10,155,27.20082,0,julsept,-3.479252,305.1015,skipjack tuna,165.8004,pacific,4,0,37.17322,0.136059,0,0.27856142745108337
-10,155,29.33077,0,janmarch,-3.479252,305.1015,skipjack tuna,165.8004,pacific,2,0.052549,20.04612,0.107331,0,0.30087794934330936
-10,155,28.57153,0,octoberdec,-3.479252,305.1015,skipjack tuna,165.8004,pacific,2,0.26457,26.92523,0.129608,0,0.2721428454538374
-10,155,28.33193,0,apriljune,-3.479252,305.1015,skipjack tuna,165.8004,pacific,3,0.24202099999999999,30.08725,0.125505,0,0.264919676150716
-10,156,27.35497,0,julsept,-3.622257,376.9205,skipjack tuna,211.812,pacific,4,0,38.83638,0.147135,0,0.27670961222300505
-10,156,28.59759,1,octoberdec,-3.622257,376.9205,skipjack tuna,211.812,pacific,2,0.247376,27.43214,0.118269,1,0.26800107543779517
-10,156,28.48215,0,apriljune,-3.622257,376.9205,skipjack tuna,211.812,pacific,3,0.213177,31.95222,0.122665,0,0.2524019940862019
-10,157,27.50338,0,julsept,-3.792769,463.8059,skipjack tuna,188.9285,pacific,4,0,40.79409,0.15884,0,0.2846376685914921
-10,157,28.64064,3,octoberdec,-3.792769,463.8059,skipjack tuna,188.9285,pacific,2,0.243055,28.03745,0.111745,1,0.2722185730392639
