Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,Dist2Coast,Season2,Nitrate,MLD,Chl,pa,Preds
-1,134,28.87573,0,janmarch,-1.692913,892.6012,16.92943,2,0.54801,21.53823,0.167916,0,0.04186365903867665
-1,135,28.87081,0,janmarch,-1.682892,1651.212,14.90988,2,0.48355,21.90304,0.173552,0,0.038421809260423746
-1,136,28.81462,0,janmarch,-3.217928,1586.443,10.22813,2,0.415183,22.59071,0.166844,0,0.03878870331527872
-1,137,29.00957,0,octoberdec,-3.988074,841.8058,25.24369,2,0.113055,26.37916,0.204195,0,0.028194630296062097
-1,137,28.64084,0,janmarch,-3.988074,841.8058,25.24369,2,0.331064,23.93887,0.150073,0,0.04448882926775567
-1,138,28.64464,0,janmarch,-4.187404,291.8664,26.02065,2,0.243404,26.67615,0.171244,0,0.038138656119879995
-1,138,29.05565,0,octoberdec,-4.187404,291.8664,26.02065,2,0.057468,28.94931,0.182151,0,0.029808851688208623
-1,139,29.06741,0,octoberdec,-3.50405,274.4105,61.65179,2,0.014671,30.84519,0.135538,0,0.03593273370237456
-1,141,29.10632,0,octoberdec,-3.240472,131.4527,120.3409,2,0,37.13903,0.118168,0,0.03309432796251901
-1,141,28.65638,0,janmarch,-3.240472,131.4527,120.3409,2,0.080303,35.0831,0.164659,0,0.033516014825303427
-1,143,29.15846,0,octoberdec,-3.459056,478.5926,36.64213,2,0.015415,39.45442,0.113704,0,0.026945072829386695
-1,143,28.66131,0,janmarch,-3.459056,478.5926,36.64213,2,0.042498,37.89714,0.147207,0,0.030847912214909446
-1,144,28.79095,0,julsept,-3.680398,710.6888,22.55798,4,0.023219,32.11772,0.102083,0,0.019774332002424334
-1,144,28.73148,0,janmarch,-3.680398,710.6888,22.55798,2,0.042913,35.85731,0.177653,0,0.022714729515028433
-1,145,28.88531,0,julsept,-3.294394,1197.401,44.44921,4,0.023655,28.44944,0.106861,0,0.01618723918139439
-1,145,28.8475,0,janmarch,-3.294394,1197.401,44.44921,2,0.035312,32.45153,0.180042,0,0.01864674719380073
-1,145,29.12115,0,apriljune,-3.294394,1197.401,44.44921,3,0.093961,29.95761,0.13731,0,0.010878899166069649
-1,145,29.2873,0,octoberdec,-3.294394,1197.401,44.44921,2,0.033858,30.99691,0.101248,0,0.021029951452959925
-1,146,28.9989,0,julsept,-3.363098,1231.505,52.1809,4,0.027377,27.12869,0.104441,0,0.013457659194159552
-1,146,29.21103,0,apriljune,-3.363098,1231.505,52.1809,3,0.081425,28.86272,0.132736,0,0.00935638085122922
-1,146,28.97663,0,janmarch,-3.363098,1231.505,52.1809,2,0.022034,29.70572,0.166642,0,0.016386399402751925
-1,147,29.09814,0,janmarch,-3.594821,1305.709,55.51457,2,0.031377,27.99656,0.158976,0,0.013805885985123034
-1,147,29.05689,0,julsept,-3.594821,1305.709,55.51457,4,0.036431,28.03588,0.106125,0,0.011256823724915502
