Latitude,Longitude,SST,Number,season,Bathymetry,BathymetrySD,Dist2Coast,Season2,Nitrate,MLD,Chl,pa,Preds
-1,134,28.8757305145264,0,janmarch,-1.6929125,892.601158,16.929432055472,2,0.54801,21.538232,0.167916,0,0.25832162295237826
-1,135,28.8708114624023,0,janmarch,-1.682892401,1651.211878,14.90988102592,2,0.48355,21.90304,0.173552,0,0.265139916922569
-1,136,28.8146190643311,0,janmarch,-3.217927756,1586.442581,10.2281341051446,2,0.415183,22.590709,0.166844,0,0.2975774467840192
-1,137,29.0095672607422,0,octoberdec,-3.988073819,841.805795,25.243685717824,2,0.113055,26.379164,0.204195,0,0.26248932816148735
-1,137,28.6408386230469,0,janmarch,-3.988073819,841.805795,25.243685717824,2,0.331064,23.938866,0.150073,0,0.3614311021231811
-1,138,28.6446361541748,0,janmarch,-4.187404236,291.866431,26.0206452564704,2,0.243404,26.676152,0.171244,0,0.3441520976469076
-1,138,29.0556507110596,0,octoberdec,-4.187404236,291.866431,26.0206452564704,2,0.057468,28.949313,0.182151,0,0.31539027589595364
-1,139,29.0674133300781,0,octoberdec,-3.504049583,274.410533,61.65178647776,2,0.014671,30.845192,0.135538,0,0.42287461123847014
-1,141,29.1063194274902,1,octoberdec,-3.240471667,131.452661,120.34093408,2,0,37.139026,0.118168,1,0.41766622970358364
-1,141,28.6563835144043,0,janmarch,-3.240471667,131.452661,120.34093408,2,0.080303,35.0831,0.164659,0,0.3658071250687798
-1,143,29.1584587097168,0,octoberdec,-3.459056319,478.592644,36.642133776,2,0.015415,39.454419,0.113704,0,0.4163086655551592
-1,143,28.6613101959229,0,janmarch,-3.459056319,478.592644,36.642133776,2,0.042498,37.897138,0.147207,0,0.40219935686493546
-1,144,28.7909507751465,1,julsept,-3.680397778,710.688759,22.55798074992,4,0.023219,32.117723,0.102083,1,0.35109520617454715
-1,144,28.7314777374268,0,janmarch,-3.680397778,710.688759,22.55798074992,2,0.042913,35.857308,0.177653,0,0.34303334032808996
-1,145,28.8853149414062,1,julsept,-3.294394024,1197.401045,44.4492120112,4,0.023655,28.449442,0.106861,1,0.32086152650906236
-1,145,28.8474979400635,0,janmarch,-3.294394024,1197.401045,44.4492120112,2,0.035312,32.451534,0.180042,0,0.33251353475672485
-1,145,29.1211471557617,0,apriljune,-3.294394024,1197.401045,44.4492120112,3,0.093961,29.957608,0.13731,0,0.38346597439650637
-1,145,29.2873020172119,0,octoberdec,-3.294394024,1197.401045,44.4492120112,2,0.033858,30.996907,0.101248,0,0.44213381799720436
-1,146,28.9988994598389,0,julsept,-3.363098125,1231.505439,52.180895256,4,0.027377,27.128685,0.104441,0,0.295561827319362
-1,146,29.2110252380371,0,apriljune,-3.363098125,1231.505439,52.180895256,3,0.081425,28.86272,0.132736,0,0.37062835320064763
-1,146,28.9766273498535,0,janmarch,-3.363098125,1231.505439,52.180895256,2,0.022034,29.705723,0.166642,0,0.3357269507360281
-1,147,29.0981407165527,0,janmarch,-3.594820903,1305.709212,55.5145651407039,2,0.031377,27.996555,0.158976,0,0.3242883550173041
-1,147,29.0568904876709,0,julsept,-3.594820903,1305.709212,55.5145651407039,4,0.036431,28.035879,0.106125,0,0.2875898438873578
-1,147,29.3906879425049,0,octoberdec,-3.594820903,1305.709212,55.5145651407039,2,0.074551,26.463001,0.097089,0,0.38156502312979257
-1,148,29.0524559020996,0,julsept,-3.835138403,1280.57905,78.1074473600001,4,0.040579,29.040728,0.097286,0,0.27438716226986604
-1,148,29.4419689178467,0,octoberdec,-3.835138403,1280.57905,78.1074473600001,2,0.075509,25.794746,0.100669,0,0.3560832033880831
-1,149,29.4730949401855,0,octoberdec,-4.780283472,1276.129858,29.0129029968,2,0.069798,25.893457,0.100593,0,0.3512038386733959
-1,149,29.0792198181152,0,julsept,-4.780283472,1276.129858,29.0129029968,4,0.048196,29.34942,0.091296,0,0.26640454636387284
-1,150,29.4920921325684,0,octoberdec,-5.227451667,355.182897,63.1591196480001,2,0.077033,27.400498,0.101137,0,0.337171398318967
-1,150,29.3529033660889,0,apriljune,-5.227451667,355.182897,63.1591196480001,3,0.047272,28.909966,0.092924,0,0.3251548590317475
-1,150,29.3147087097168,0,janmarch,-5.227451667,355.182897,63.1591196480001,2,0.033999,26.476419,0.132368,0,0.31177359104750807
-1,150,29.1293144226074,0,julsept,-5.227451667,355.182897,63.1591196480001,4,0.054148,29.890504,0.087067,0,0.2408689254592639
-1,151,29.1563987731934,0,julsept,-5.050030625,560.680853,123.38230224,4,0.050031,30.99004,0.089504,0,0.21980134873098753
-1,151,29.3881092071533,0,apriljune,-5.050030625,560.680853,123.38230224,3,0.011451,29.580037,0.091942,0,0.2953418482097051
-1,151,29.5048370361328,1,octoberdec,-5.050030625,560.680853,123.38230224,2,0.084228,30.060049,0.106109,1,0.3210045585814206
-1,151,29.3548831939697,0,janmarch,-5.050030625,560.680853,123.38230224,2,0.059159,28.662404,0.129934,0,0.298550365108104
-1,152,29.1673183441162,0,julsept,-4.409655833,213.921419,133.01516096,4,0.052576,30.463789,0.093833,0,0.20568064377045828
-1,152,29.501314163208,1,octoberdec,-4.409655833,213.921419,133.01516096,2,0.095275,32.292102,0.103232,1,0.30400771205482535
-1,152,29.3941116333008,0,janmarch,-4.409655833,213.921419,133.01516096,2,0.075127,31.878163,0.11964,0,0.30049773761083726
-1,152,29.4319438934326,0,apriljune,-4.409655833,213.921419,133.01516096,3,0.010567,30.100365,0.095092,0,0.2786400692592891
