province,prov_descr
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
WARM,Trades - W. Pacific Warm Pool Province
WARM,Trades - W. Pacific Warm Pool Province
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West)
