plan1,plan2,kappa_corrvalue,kappa_pvalue
SSP126,SSP126,1,0
SSP126,SSP245,0.373114579526151,0
SSP126,SSP585,0.313220266504364,0
SSP126,uninformed,0.432328570849364,0
SSP245,SSP126,0.373114579526151,0
SSP245,SSP245,1,0
SSP245,SSP585,0.512422240388805,0
SSP245,uninformed,0.503414919199138,0
SSP585,SSP126,0.313220266504364,0
SSP585,SSP245,0.512422240388805,0
SSP585,SSP585,1,0
SSP585,uninformed,0.400642636669793,0
uninformed,SSP126,0.432328570849364,0
uninformed,SSP245,0.503414919199138,0
uninformed,SSP585,0.400642636669793,0
uninformed,uninformed,1,0
