plan1,plan2,kappa_corrvalue,kappa_pvalue
SSP126,SSP126,1,0
SSP126,SSP245,0.347037931381427,0
SSP126,SSP585,0.40820533827778,0
SSP126,uninformed,0.321041783450477,0
SSP245,SSP126,0.347037931381427,0
SSP245,SSP245,1,0
SSP245,SSP585,0.582532447932388,0
SSP245,uninformed,0.340411462300988,0
SSP585,SSP126,0.40820533827778,0
SSP585,SSP245,0.582532447932388,0
SSP585,SSP585,1,0
SSP585,uninformed,0.405146967932963,0
uninformed,SSP126,0.321041783450477,0
uninformed,SSP245,0.340411462300988,0
uninformed,SSP585,0.405146967932963,0
uninformed,uninformed,1,0
