plan1,plan2,kappa_corrvalue,kappa_pvalue
SSP126,SSP126,1,0
SSP126,SSP245,0.151129476494832,0
SSP126,SSP585,0.100686558276568,0
SSP126,uninformed,0.0962431785568938,0
SSP245,SSP126,0.151129476494832,0
SSP245,SSP245,1,0
SSP245,SSP585,0.406870538324196,0
SSP245,uninformed,0.0927237378933278,0
SSP585,SSP126,0.100686558276568,0
SSP585,SSP245,0.406870538324196,0
SSP585,SSP585,1,0
SSP585,uninformed,0.174959775434366,0
uninformed,SSP126,0.0962431785568938,0
uninformed,SSP245,0.0927237378933278,0
uninformed,SSP585,0.174959775434366,0
uninformed,uninformed,1,0
