scenario1,scenario2,kappa_value,kappa_pvalue
SSP1-2.6,SSP1-2.6,1,0
SSP1-2.6,SSP2-4.5,0.240084546506405,0
SSP1-2.6,SSP5-8.5,0.201115889892363,0
SSP1-2.6,Uninformed,0.013338693727889,0.00443222585570013
SSP2-4.5,SSP1-2.6,0.240084546506405,0
SSP2-4.5,SSP2-4.5,1,0
SSP2-4.5,SSP5-8.5,0.23594335251365,0
SSP2-4.5,Uninformed,0.028287727363304,2.37190911356322e-09
SSP5-8.5,SSP1-2.6,0.201115889892363,0
SSP5-8.5,SSP2-4.5,0.23594335251365,0
SSP5-8.5,SSP5-8.5,1,0
SSP5-8.5,Uninformed,0.0293106335464546,1.81433357226979e-09
Uninformed,SSP1-2.6,0.013338693727889,0.00443222585570013
Uninformed,SSP2-4.5,0.028287727363304,2.37190911356322e-09
Uninformed,SSP5-8.5,0.0293106335464546,1.81433357226979e-09
Uninformed,Uninformed,1,0
